sample_id,url,label,sample_origin,source_type,label_quality,group_id,capture_date,html_path,quality_status,quality_score,split,training_eligible,url_technique_id,html_technique_id,url_length,host_length,registrable_domain_length,subdomain_count,path_length,path_depth,query_length,query_param_count,fragment_length,digit_ratio,special_ratio,hyphen_count,dot_count,at_count,percent_encoded_count,host_entropy,path_entropy,token_count,token_length_mean,token_length_std,long_random_token_count,suspicious_token_count,is_https,has_ip_host,has_idn_or_punycode,unicode_confusable_count,nonstandard_port,repeated_character_run,redirect_count,cross_domain_redirect_count,html_bytes_log,visible_text_length_log,word_count_log,persian_character_ratio,replacement_character_count,mojibake_marker_count,title_present,title_length_log,title_domain_token_overlap,total_tags_log,max_dom_depth,max_siblings_log,form_count,password_input_count,email_input_count,text_input_count,hidden_input_count,button_count,external_form_action_count,form_action_cross_domain_ratio,internal_link_count_log,external_link_count_log,external_link_ratio,empty_link_count_log,image_count_log,iframe_count,script_count_log,external_script_ratio,stylesheet_count_log,external_stylesheet_ratio,favicon_count,favicon_same_domain,local_asset_ratio,data_uri_count_log,blob_reference_count,eval_count,atob_count,document_write_count,window_location_count,meta_refresh_count,credential_keyword_count_log,captcha_keyword_count_log,network_host_count_log,external_network_host_ratio,has_content_security_policy,has_hsts,has_x_frame_options,domain_age_days_log,domain_age_missing,dns_address_count_log,dns_missing,tls_days_remaining_log,tls_missing,popularity_rank_log,popularity_missing
20260128__4xmen.ir__f879bd0491e2__legitimate,https://4xmen.ir/,0,real,legitimate_archive,verified_legitimate,4xmen.ir,20260128,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260128__4xmen.ir__f879bd0491e2.html,ok,1.0,train,1,,,17.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.29411764705882354,0.0,1.0,0.0,0.0,3.0,-0.0,3.0,4.0,1.4142135623730951,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.75067051261188,12.416795376844382,5.579729825986222,0.0035235082802444586,0.0,0.0,1.0,3.4657359027997265,0.0,5.552959584921617,17.0,3.6109179126442243,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.9889840465642745,0.6931471805599453,0.018518518518518517,0.6931471805599453,3.091042453358316,0.0,1.791759469228055,0.8,0.0,0.0,3.0,1.0,0.8469387755102041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__4xmen.ir__f879bd0491e2__phishing,https://4xm3n-secure.ir/,1,synthetic,persianphish_generated,generated_phishing,4xmen.ir,20260128,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__4xmen.ir__f879bd0491e2__T24.html,ok,0.9706,train,1,T03,T24,24.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.25,1.0,1.0,0.0,0.0,3.640223928941852,-0.0,4.0,4.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.533776562037675,7.210079628170788,5.579729825986222,0.643491124260355,0.0,0.0,1.0,3.4657359027997265,0.0,5.552959584921617,17.0,3.6109179126442243,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.007333185232471,1.0,0.6931471805599453,3.091042453358316,0.0,1.791759469228055,0.8,0.0,0.0,3.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__abadis.ir__c0368545ac57__legitimate,https://abadis.ir/,0,real,legitimate_archive,verified_legitimate,abadis.ir,20260128,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260128__abadis.ir__c0368545ac57.html,ok,0.9415,train,1,,,18.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,1.0,0.0,0.0,2.725480556997868,-0.0,3.0,4.333333333333333,1.699673171197595,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.84320179935387,8.711772645605693,7.068172000388042,0.7530051045611724,0.0,0.0,1.0,3.7376696182833684,0.5,4.852030263919617,7.0,3.4339872044851463,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9444389791664403,0.0,0.0,0.0,2.70805020110221,0.0,1.6094379124341003,0.0,0.0,0.0,1.0,1.0,0.9487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__abadis.ir__c0368545ac57__phishing,https://cdn-redirect-1.example-cdn.net/r?token=YoWktKKLXzzg&next=https%3A%2F%2Fcdn-redirect-0.example-cdn.net%2Fr%3Ftoken%3DcP4ozPuOyXeL%26next%3Dhttps%253A%252F%252Fwww.google.com%252Furl%253Fq%253Dhttps%25253A%25252F%25252Fabadis.ir,1,synthetic,persianphish_generated,generated_phishing,abadis.ir,20260128,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__abadis.ir__c0368545ac57__T07.html,ok,0.9619,train,1,T06,T07,234.0,30.0,15.0,1.0,2.0,1.0,193.0,2.0,0.0,0.1111111111111111,0.19,3.0,2.0,0.0,17.0,3.685917579505496,1.0,35.0,4.628571428571429,2.8090233614012465,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.328882427277934,8.711772645605693,7.068172000388042,0.7530051045611724,0.0,0.0,1.0,3.7376696182833684,0.0,4.852030263919617,7.0,3.4339872044851463,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9444389791664403,0.0,0.0,0.0,2.70805020110221,0.0,1.6094379124341003,0.0,0.0,0.0,1.0,0.0,0.631578947368421,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__acta.tums.ac.ir__dd4ab7fbc4e7__legitimate,https://acta.tums.ac.ir/,0,real,legitimate_archive,verified_legitimate,tums.ac.ir,20260128,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260128__acta.tums.ac.ir__dd4ab7fbc4e7.html,ok,0.9473,test,1,,,24.0,15.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.0,3.0,0.0,0.0,3.006238928653389,-0.0,5.0,3.4,1.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.982288213867557,9.839802000849994,7.938802248154481,0.0,0.0,0.0,1.0,2.995732273553991,0.0,6.520621127558696,20.0,3.4965075614664802,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.624972813284271,3.970291913552122,0.33986928104575165,2.70805020110221,3.912023005428146,0.0,2.3978952727983707,0.0,1.6094379124341003,0.0,0.0,0.0,0.7522935779816514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__acta.tums.ac.ir__dd4ab7fbc4e7__phishing,https://xn--t-7sbb0e.xn--tum-hhd.xn--80a8a.xn--r-evb/,1,synthetic,persianphish_generated,generated_phishing,tums.ac.ir,20260128,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__acta.tums.ac.ir__dd4ab7fbc4e7__T25.html,ok,0.9464,test,1,T02,T25,53.0,44.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.33962264150943394,11.0,3.0,0.0,0.0,3.742078827515997,-0.0,12.0,2.9166666666666665,1.552328000849763,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.961434084478222,9.842834805324179,7.943072717277933,0.0017532674529805547,0.0,0.0,1.0,2.995732273553991,0.0,6.535241271013659,20.0,3.4965075614664802,2.0,1.0,0.0,3.0,1.0,2.0,1.0,0.5,3.828641396489095,4.6913478822291435,0.7058823529411765,2.70805020110221,3.912023005428146,0.0,2.4849066497880004,0.8181818181818182,1.6094379124341003,1.0,0.0,0.0,0.41284403669724773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__adyan.urd.ac.ir__77713f29d30b__legitimate,https://adyan.urd.ac.ir/,0,real,legitimate_archive,verified_legitimate,urd.ac.ir,20260128,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260128__adyan.urd.ac.ir__77713f29d30b.html,ok,0.9698,train,1,,,24.0,15.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.0,3.0,0.0,0.0,3.0062389286533895,-0.0,5.0,3.4,1.3564659966250536,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.514913487543181,8.933796043934858,7.226209010100671,0.7313728075959383,0.0,0.0,1.0,2.833213344056216,0.0,7.085064293952548,19.0,5.303304908059076,2.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,4.61512051684126,3.332204510175204,0.2125984251968504,2.995732273553991,2.6390573296152584,0.0,1.6094379124341003,0.0,2.302585092994046,0.0,2.0,1.0,0.8193548387096774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__adyan.urd.ac.ir__77713f29d30b__phishing,https://urd-10gin.ac.ir/,1,synthetic,persianphish_generated,generated_phishing,urd.ac.ir,20260128,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__adyan.urd.ac.ir__77713f29d30b__T11.html,ok,0.9667,train,1,T03,T11,24.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.2916666666666667,1.0,2.0,0.0,0.0,3.506890595608519,-0.0,5.0,3.4,1.3564659966250536,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.44199858163029,8.932872621931374,7.2254814727822945,0.7312565997888067,0.0,0.0,1.0,2.833213344056216,0.0,7.080867896690782,19.0,5.303304908059076,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,4.605170185988092,3.367295829986474,0.2204724409448819,2.995732273553991,2.6390573296152584,0.0,1.791759469228055,0.0,2.302585092994046,0.0,2.0,1.0,0.8064516129032258,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__ajp.mums.ac.ir__4353115d8a5a__legitimate,https://ajp.mums.ac.ir/,0,real,legitimate_archive,verified_legitimate,mums.ac.ir,20260128,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260128__ajp.mums.ac.ir__4353115d8a5a.html,ok,0.9398,train,1,,,23.0,14.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.0,3.0,0.0,0.0,3.182005814760214,-0.0,5.0,3.2,1.16619037896906,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.802062278604502,8.93642970360832,7.010311867307229,0.0,0.0,0.0,1.0,3.5263605246161616,0.0,6.505784060128229,16.0,3.044522437723423,2.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,4.727387818712341,2.1972245773362196,0.06666666666666667,3.2188758248682006,1.3862943611198906,0.0,1.6094379124341003,0.25,1.9459101490553132,0.0,1.0,1.0,0.9323308270676691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20260128__ajp.mums.ac.ir__4353115d8a5a__phishing,https://mums-v3rify.ac.ir/,1,synthetic,persianphish_generated,generated_phishing,mums.ac.ir,20260128,balanced_generated_websites_by_technique_20260709/phishing_html_archive/20260128__ajp.mums.ac.ir__4353115d8a5a__T19.html,ok,0.9349,train,1,T03,T19,26.0,17.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.2692307692307692,1.0,2.0,0.0,0.0,3.6168746059562227,-0.0,5.0,3.8,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.684668503929622,8.939318740417509,7.013915474810528,0.0022295081967213114,0.0,0.0,1.0,3.5263605246161616,0.0,6.513230110912307,16.0,3.044522437723423,2.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,4.718498871295094,2.302585092994046,0.075,3.2188758248682006,1.6094379124341003,0.0,1.791759469228055,0.2,1.9459101490553132,0.0,1.0,1.0,0.924812030075188,1.3862943611198906,0.0,0.0,1.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
