sample_id,url,html_path,label,quality_status,quality_score,quality_reasons
20260312__kordestan.farhang.gov.ir__98cdaa839599__legitimate,https://kordestan.farhang.gov.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260312__kordestan.farhang.gov.ir__98cdaa839599.html,0,blocked,0.05,challenge_or_error_page|access denied
20260131__ijpr.ir__4c69bedbea14__legitimate,https://ijpr.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260131__ijpr.ir__4c69bedbea14.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260226__library.nioc.ir__66c8b790941a__legitimate,https://library.nioc.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260226__library.nioc.ir__66c8b790941a.html,0,blocked,0.05,challenge_or_error_page|access denied
20260215__skchto.ir__19d0fc05f426__legitimate,https://skchto.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260215__skchto.ir__19d0fc05f426.html,0,blocked,0.05,challenge_or_error_page|forbidden
20260221__eu-passport.ir__2ab66e6dae06__legitimate,https://eu-passport.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260221__eu-passport.ir__2ab66e6dae06.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id|web server is down
20260201__nestle.ir__338fa83e14bb__legitimate,https://nestle.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260201__nestle.ir__338fa83e14bb.html,0,blocked,0.05,challenge_or_error_page|enable javascript and cookies|security check
20260131__cryptochain.forexautoexpert.ir__4e593d75d247__legitimate,https://cryptochain.forexautoexpert.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260131__cryptochain.forexautoexpert.ir__4e593d75d247.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260216__efex.pro__2b5f842b22f5__legitimate,https://efex.pro,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260216__efex.pro__2b5f842b22f5.html,0,blocked,0.05,challenge_or_error_page|enable javascript and cookies
20260215__topsnet.ir__69af329ebd22__legitimate,https://topsnet.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260215__topsnet.ir__69af329ebd22.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260201__sk-portal.ir__526dd16ab881__legitimate,https://sk-portal.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260201__sk-portal.ir__526dd16ab881.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260222__hubgram.ir__befc852c74cd__legitimate,https://hubgram.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260222__hubgram.ir__befc852c74cd.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260222__bankefiile12.nasrblog.ir__22e18aba3d44__legitimate,https://bankefiile12.nasrblog.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260222__bankefiile12.nasrblog.ir__22e18aba3d44.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260227__media.dotic.ir__7d721ffc82fd__legitimate,https://media.dotic.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260227__media.dotic.ir__7d721ffc82fd.html,0,blocked,0.05,challenge_or_error_page|access denied
20260131__ghanoondaily.ir__2a558ca63458__legitimate,https://ghanoondaily.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260131__ghanoondaily.ir__2a558ca63458.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id|web server is down
20260215__seopin.nasrblog.ir__79eab8656dad__legitimate,https://seopin.nasrblog.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260215__seopin.nasrblog.ir__79eab8656dad.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260307__iqfa.ir__4dfe0f683db3__legitimate,https://iqfa.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260307__iqfa.ir__4dfe0f683db3.html,0,blocked,0.05,challenge_or_error_page|access denied
20260130__ens.adupars.ir__742602abe606__legitimate,https://ens.adupars.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260130__ens.adupars.ir__742602abe606.html,0,blocked,0.05,challenge_or_error_page|forbidden
20260201__zarebin.ir__b30328ecc120__legitimate,https://zarebin.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260201__zarebin.ir__b30328ecc120.html,0,blocked,0.05,challenge_or_error_page|forbidden
20260312__gilan.farhang.gov.ir__839d8d21bb32__legitimate,https://gilan.farhang.gov.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260312__gilan.farhang.gov.ir__839d8d21bb32.html,0,blocked,0.05,challenge_or_error_page|access denied
20260131__cryptoengine.dragonforex.ir__aecec1b981b8__legitimate,https://cryptoengine.dragonforex.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260131__cryptoengine.dragonforex.ir__aecec1b981b8.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260131__go.onescript.ir__b9651f357707__legitimate,https://go.onescript.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260131__go.onescript.ir__b9651f357707.html,0,blocked,0.05,challenge_or_error_page|enable javascript and cookies
20260131__cryptotools.forex-expert.ir__6020ddaa2f54__legitimate,https://cryptotools.forex-expert.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260131__cryptotools.forex-expert.ir__6020ddaa2f54.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260221__4eq.ir__b960ba98a41e__legitimate,https://4eq.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260221__4eq.ir__b960ba98a41e.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260312__musicschoolg.farhang.gov.ir__f4fd0a2edf22__legitimate,https://musicschoolg.farhang.gov.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260312__musicschoolg.farhang.gov.ir__f4fd0a2edf22.html,0,blocked,0.05,challenge_or_error_page|access denied
20260203__pcci.ir__ec99cf78f46e__legitimate,https://pcci.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260203__pcci.ir__ec99cf78f46e.html,0,blocked,0.05,challenge_or_error_page|forbidden
20260216__batis-shop.ir__65fc8007f242__legitimate,https://batis-shop.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260216__batis-shop.ir__65fc8007f242.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260129__shamad.saramad.ir__49442b3dbd0c__legitimate,https://shamad.saramad.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260129__shamad.saramad.ir__49442b3dbd0c.html,0,blocked,0.05,challenge_or_error_page|forbidden
20260221__types-of-gree.nasrblog.ir__deb2be4b92c2__legitimate,https://types-of-gree.nasrblog.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260221__types-of-gree.nasrblog.ir__deb2be4b92c2.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260202__seo-pbn.ir__24f654f73608__legitimate,https://seo-pbn.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260202__seo-pbn.ir__24f654f73608.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260222__profile.iwmf.ir__492089aeb2fa__legitimate,https://profile.iwmf.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260222__profile.iwmf.ir__492089aeb2fa.html,0,partial,0.4628,low_tag_count|low_visible_text|no_page_structure
20260131__cryptowealth.forexrobotea.ir__55a3fe87d4be__legitimate,https://cryptowealth.forexrobotea.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260131__cryptowealth.forexrobotea.ir__55a3fe87d4be.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260222__dpfaragir.ir__8730680cd9f3__legitimate,https://dpfaragir.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260222__dpfaragir.ir__8730680cd9f3.html,0,blocked,0.05,challenge_or_error_page|access denied
20260313__lahijan.farhang.gov.ir__d18e2f698712__legitimate,https://lahijan.farhang.gov.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260313__lahijan.farhang.gov.ir__d18e2f698712.html,0,blocked,0.05,challenge_or_error_page|access denied
20260207__birgeek.ir__c073356712f1__legitimate,https://birgeek.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260207__birgeek.ir__c073356712f1.html,0,partial,0.4871,low_tag_count|low_visible_text|no_page_structure
20260131__ireconomy.ir__4152b3b3e1ef__legitimate,https://ireconomy.ir,مجموعه داده قانونی/مجموعه داده قانونی/legitimate_html_archive/20260131__ireconomy.ir__4152b3b3e1ef.html,0,blocked,0.05,challenge_or_error_page|cloudflare ray id|web server is down
20260225__parsmehr.ir__c922c0f63925__real_phishing,https://parsmehr.ir/,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__parsmehr.ir__c922c0f63925.html,1,blocked,0.05,challenge_or_error_page|cloudflare ray id
20260225__clienti.sicuro.eshteghalepaydar.ir__0e2db96059ea__real_phishing,https://clienti.sicuro.eshteghalepaydar.ir/cgi-sys/suspendedpage.cgi,مجموعه داده فیشینگ واقعی/مجموعه داده فیشینگ واقعی/real_test_phishing_html_archive/20260225__clienti.sicuro.eshteghalepaydar.ir__0e2db96059ea.html,1,blocked,0.05,challenge_or_error_page|forbidden
